Name	Symbol
Multiple epiphyseal dysplasia-macrocephaly-facial dysmorphism syndrome	KIF7
Aspartylglucosaminuria	AGA
Brachydactyly-short stature-retinitis pigmentosa syndrome	CWC27
Multiple sulfatase deficiency	SUMF1
Beta-mannosidosis	MANBA
Pontocerebellar hypoplasia type 4	TSEN54
Von Willebrand disease type 1	VWF
Pontocerebellar hypoplasia type 6	RARS2
Von Willebrand disease type 2A	VWF
Farber disease	ASAH1
Fucosidosis	FUCA1
Von Willebrand disease type 2M	VWF
Von Willebrand disease type 2B	VWF
Glycogen storage disease due to glycogen debranching enzyme deficiency	AGL
Von Willebrand disease type 2N	VWF
Glycogen storage disease due to muscle glycogen phosphorylase deficiency	PYGM
Von Willebrand disease type 3	VWF
Autosomal dominant otospondylomegaepiphyseal dysplasia	COL2A1
Autosomal dominant otospondylomegaepiphyseal dysplasia	COL11A2
Glycogen storage disease due to muscle phosphofructokinase deficiency	PFKM
FASTKD2-related infantile mitochondrial encephalomyopathy	FASTKD2
Glycogen storage disease due to liver glycogen phosphorylase deficiency	PYGL
Paroxysmal nocturnal hemoglobinuria	PIGA
"Intellectual disability, Birk-Barel type"	KCNK9
Isolated osteopoikilosis	LEMD3
Dentinogenesis imperfecta type 2	DSPP
Dentinogenesis imperfecta type 3	DSPP
Odontochondrodysplasia	TRIP11
Mucolipidosis type II	GNPTAB
Sialidosis type 1	NEU1
Familial sick sinus syndrome	SCN5A
Familial sick sinus syndrome	HCN4
Familial sick sinus syndrome	MYH6
Familial sick sinus syndrome	GNB2
Mucolipidosis type IV	MCOLN1
Porokeratotic eccrine ostial and dermal duct nevus	GJB2
Recessive X-linked ichthyosis	FLG
Recessive X-linked ichthyosis	STS
Mucopolysaccharidosis type 7	GUSB
Hot water reflex epilepsy	SLC1A1
Friedreich ataxia	FXN
Cystic fibrosis	CFTR
MELAS	MT-TQ
MELAS	MT-CO1
MELAS	MT-CO2
MELAS	MT-CO3
MELAS	MT-ND1
MELAS	MT-ND4
MELAS	MT-ND5
MELAS	MT-ND6
MELAS	MT-TL1
MELAS	MT-TW
MELAS	MT-TH
MELAS	MT-TS1
MELAS	MT-TS2
MELAS	MT-TF
Facioscapulohumeral dystrophy	DNMT3B
Facioscapulohumeral dystrophy	DUX4
Facioscapulohumeral dystrophy	DUX4L1
Facioscapulohumeral dystrophy	FRG1
Facioscapulohumeral dystrophy	SMCHD1
Kearns-Sayre syndrome	MT-ATP8
Kearns-Sayre syndrome	RRM2B
Kearns-Sayre syndrome	MT-TL1
MERRF	MT-TP
MERRF	MT-ND5
MERRF	MT-TL1
MERRF	MT-TK
MERRF	MT-RNR1
MERRF	MT-TQ
MERRF	MT-TH
MERRF	MT-TS1
MERRF	MT-TS2
MERRF	MT-TF
Central core disease	RYR1
Peripheral demyelinating neuropathy-central dysmyelinating leukodystrophy-Waardenburg syndrome-Hirschsprung disease	SOX10
Paramyotonia congenita of Von Eulenburg	SCN4A
Acrodermatitis continua of Hallopeau	IL36RN
Acrodermatitis continua of Hallopeau	AP1S3
Pustulosis palmaris et plantaris	IL36RN
Pustulosis palmaris et plantaris	AP1S3
"X-linked intellectual disability, Najm type"	CASK
Thomsen and Becker disease	CLCN1
"X-linked dominant chondrodysplasia, Chassaing-Lacombe type"	HDAC6
"X-linked intellectual disability, Van Esch type"	POLA1
"X-linked intellectual disability, Nascimento type"	UBE2A
Fabry disease	GLA
Hyperekplexia-epilepsy syndrome	ARHGEF9
Rett syndrome	MECP2
Juvenile myoclonic epilepsy	CILK1
Juvenile myoclonic epilepsy	CACNB4
Juvenile myoclonic epilepsy	EFHC1
Juvenile myoclonic epilepsy	GABRA1
Juvenile myoclonic epilepsy	GABRD
Juvenile myoclonic epilepsy	KCNQ3
Juvenile myoclonic epilepsy	JRK
Juvenile myoclonic epilepsy	CLCN2
Juvenile absence epilepsy	EFHC1
Von Hippel-Lindau disease	CCND1
Von Hippel-Lindau disease	VHL
Autosomal recessive polycystic kidney disease	DZIP1L
Autosomal recessive polycystic kidney disease	PKHD1
Familial advanced sleep-phase syndrome	PER3
Familial advanced sleep-phase syndrome	CSNK1D
Familial advanced sleep-phase syndrome	PER2
CHARGE syndrome	SEMA3E
CHARGE syndrome	CHD7
Familial mesial temporal lobe epilepsy with febrile seizures	CPA6
Amyotrophic lateral sclerosis	CCNF
Amyotrophic lateral sclerosis	TAF15
Amyotrophic lateral sclerosis	ANXA11
Amyotrophic lateral sclerosis	CFAP410
Amyotrophic lateral sclerosis	GLE1
Amyotrophic lateral sclerosis	NEK1
Amyotrophic lateral sclerosis	GLT8D1
Amyotrophic lateral sclerosis	CHCHD10
Amyotrophic lateral sclerosis	DAO
Amyotrophic lateral sclerosis	ATXN2
Amyotrophic lateral sclerosis	CHMP2B
Amyotrophic lateral sclerosis	SOD1
Amyotrophic lateral sclerosis	TREM2
Amyotrophic lateral sclerosis	VAPB
Amyotrophic lateral sclerosis	VCP
Amyotrophic lateral sclerosis	NEFH
Amyotrophic lateral sclerosis	OPTN
Amyotrophic lateral sclerosis	DCTN1
Amyotrophic lateral sclerosis	TARDBP
Amyotrophic lateral sclerosis	FIG4
Amyotrophic lateral sclerosis	FUS
Amyotrophic lateral sclerosis	ANG
Amyotrophic lateral sclerosis	MATR3
Amyotrophic lateral sclerosis	PRPH
Amyotrophic lateral sclerosis	PON1
Amyotrophic lateral sclerosis	PON2
Amyotrophic lateral sclerosis	PON3
Amyotrophic lateral sclerosis	SQSTM1
Amyotrophic lateral sclerosis	UBQLN2
Amyotrophic lateral sclerosis	C9ORF72
Amyotrophic lateral sclerosis	PFN1
Amyotrophic lateral sclerosis	TBK1
Amyotrophic lateral sclerosis	HNRNPA1
Amyotrophic lateral sclerosis	PPARGC1A
Amyotrophic lateral sclerosis	ERBB4
Amyotrophic lateral sclerosis	UNC13A
Ataxia-telangiectasia	ATM
Huntington disease	HTT
Huntington disease	SLC2A3
Lafora disease	EPM2A
Lafora disease	NHLRC1
22q11.2 deletion syndrome	TBX1
22q11.2 deletion syndrome	ARVCF
22q11.2 deletion syndrome	GP1BB
22q11.2 deletion syndrome	UFD1
22q11.2 deletion syndrome	HIRA
22q11.2 deletion syndrome	COMT
22q11.2 deletion syndrome	JMJD1C
22q11.2 deletion syndrome	RREB1
22q11.2 deletion syndrome	SEC24C
Sickle cell anemia	HBB
Systemic lupus erythematosus	BANK1
Systemic lupus erythematosus	PXK
Systemic lupus erythematosus	IGHG1
Systemic lupus erythematosus	CTLA4
Systemic lupus erythematosus	TREX1
Systemic lupus erythematosus	HLA-DRB1
Systemic lupus erythematosus	IL10
Systemic lupus erythematosus	MECP2
Systemic lupus erythematosus	FCGR3B
Systemic lupus erythematosus	C4A
Systemic lupus erythematosus	C4B
Systemic lupus erythematosus	CR2
Systemic lupus erythematosus	IRF5
Systemic lupus erythematosus	PDCD1
Systemic lupus erythematosus	PTPN22
Systemic lupus erythematosus	STAT4
Systemic lupus erythematosus	FCGR2B
Systemic lupus erythematosus	DNASE1
Systemic lupus erythematosus	BLK
Systemic lupus erythematosus	ITGAM
Systemic lupus erythematosus	KIAA0319L
Systemic lupus erythematosus	JAZF1
Systemic lupus erythematosus	TNIP1
Systemic lupus erythematosus	TNFAIP3
Systemic lupus erythematosus	UBE2L3
Systemic lupus erythematosus	TNFSF4
Systemic lupus erythematosus	SPP1
Systemic lupus erythematosus	IRAK1
Systemic lupus erythematosus	ETS1
Systemic lupus erythematosus	TLR7
Multiple epiphyseal dysplasia due to collagen 9 anomaly	COL9A1
Multiple epiphyseal dysplasia due to collagen 9 anomaly	COL9A2
Multiple epiphyseal dysplasia due to collagen 9 anomaly	COL9A3
Oculocerebrorenal syndrome of Lowe	OCRL
Exercise-induced hyperinsulinism	SLC16A1
Multiple endocrine neoplasia type 1	CDKN1B
Multiple endocrine neoplasia type 1	CDKN1A
Multiple endocrine neoplasia type 1	CDKN2B
Multiple endocrine neoplasia type 1	CDKN2C
Multiple endocrine neoplasia type 1	MEN1
Fragile X syndrome	FMR1
X-linked agammaglobulinemia	BTK
Wilson disease	ATP7B
X-linked retinoschisis	RS1
Stargardt disease	CNGB3
Stargardt disease	PRPH2
Stargardt disease	ABCA4
Stargardt disease	ELOVL4
Stargardt disease	PROM1
Wiskott-Aldrich syndrome	WAS
Wiskott-Aldrich syndrome	WIPF1
Williams syndrome	STX1A
Williams syndrome	TBL2
Williams syndrome	GTF2IRD2
Williams syndrome	VPS37D
Williams syndrome	FKBP6
