GenericName	TradeName	DateDesignated	OrphanDesignation	OrphanDesignationStatus	FDAOrphanApprovalStatus	SponsorCompany
"a nonreplicating adeno-associated virus, serotype SAN011, that expresses an artificial microRNA which reduces and degrades the DMPK mRNA trapping the RBPs (RNA Binding Proteins)"		7/10/2024	treatment of myotonic dystrophy type 1	Designated	Not FDA Approved for Orphan Indication	Sanofi US Services Inc.
fixed dose combination of decitabine and cedazuridine		7/10/2024	Treatment of acute myeloid leukemia	Designated	Not FDA Approved for Orphan Indication	Taiho Oncology Inc.
"autologous T cells genetically engineered to express an HLA-C*08:02-restricted TCR specific to KRAS G12D and a modified dihydrofolate reductase gene (mDHFR) sequence, and to knock out endogenous human TCR alpha and beta chains and the gene encoding the transforming growth factor-beta receptor 2 (TGFBR2)"		7/9/2024	treatment of pancreatic cancer	Designated	Not FDA Approved for Orphan Indication	"Neogene Therapeutics, Inc., a member of the AstraZeneca Group"
Ambrisentan/tadalafil fixed dose combination		7/9/2024	Treatment of pulmonary arterial hypertension	Designated	Not FDA Approved for Orphan Indication	"Midas Pharmaceuticals, Inc."
padnarsertib		7/9/2024	treatment of Ewing sarcoma	Designated	Not FDA Approved for Orphan Indication	Karyopharm Therapeutics Inc.
Humanized immunoglobulin G1 monoclonal antibody directed against WNT1-inducible signaling pathway protein-1		7/8/2024	Treatment of idiopathic pulmonary fibrosis	Designated	Not FDA Approved for Orphan Indication	"Mediar Therapeutics, Inc."
Granaticin B		7/8/2024	treatment of acute myeloid leukemia	Designated	Not FDA Approved for Orphan Indication	"Lin BioScience, Inc."
padnarsertib		7/8/2024	Treatment of soft tissue sarcoma	Designated	Not FDA Approved for Orphan Indication	Karyopharm Therapeutics Inc.
insulin like growth factor 2 receptor ligand		7/3/2024	treatment of Angelman syndrome.	Designated	Not FDA Approved for Orphan Indication	Ritrova Therapeutics Inc.
elraglusib		7/3/2024	treatment of soft tissue sarcomas	Designated	Not FDA Approved for Orphan Indication	"Actuate Therapeutics, Inc."
salicylsalicylic acid		7/3/2024	treatment of Hutchinson Gilford progeria syndrome (HGPS) and Progeroid Laminopathies (PL)	Designated	Not FDA Approved for Orphan Indication	J & D Pharmaceuticals LLC
bevacizumab		7/2/2024	treatment of recurrent respiratory papillomatosis	Designated	Not FDA Approved for Orphan Indication	ODDIFACT SAS
proglumide		7/1/2024	treatment of chronic pancreatitis	Designated	Not FDA Approved for Orphan Indication	CCKr Therapeutics. Inc.
humanized immunoglobulin G4 monoclonal antibody against activated factor IX [FIXa] and factor X [FX]		7/1/2024	Treatment of hemophilia A	Designated	Not FDA Approved for Orphan Indication	"Genentech, Inc."
"Acetyl-D-tyrosylglycyl-D-arginyl-D-lysyl-D-lysyl-D-arginyl-D-arginyl-D-glutaminyl-D-arginyl-D arginyl-D-arginylglycyl-D-lysyl-D-threonyl-D-leucyl-D-arginyl-D-valyl-D-alanyl-D-lysyl-D-alanyl-D-isoleucyl-D-tyrosyl-D-lysyl-D-arginyl-D-tyrosyl-D-isoleucyl-D-isoglutamine, acetate salt"		7/1/2024	treatment of adrenocortical carcinoma	Designated	Not FDA Approved for Orphan Indication	Cytovation AS
"N-(5-cyano-4-((2-methoxyethyl)amino)pyridin-2-yl)-7-formyl-6-((4-methyl-2- oxopiperazin-1-yl)methyl)-3,4-dihydro-2,4-methano-1,8-naphthyridine-1(2H)- carboxamide 2-hydroxypropane-1,2,3-tricarboxylate"		7/1/2024	treatment of soft tissue sarcoma	Designated	Not FDA Approved for Orphan Indication	"BroadenBio Co., Ltd."
peginterferon alfa-2a		6/27/2024	Treatment of essential thrombocythemia (ET)	Designated	Not FDA Approved for Orphan Indication	Pharma& U.S. Inc.
bemiltenase alfa		6/26/2024	Treatment of hemophilia A and hemophilia B	Designated	Not FDA Approved for Orphan Indication	"Staidson (Beijing) Biopharmaceuticals Co., LTD."
DNAI1 mRNA encapsulated in a selective organ targeting lipid nanoparticle		6/25/2024	treatment of primary ciliary dyskinesia	Designated	Not FDA Approved for Orphan Indication	"ReCode Therapeutics, Inc."
"1-(3-Cyano-5-methylthiophen-2-yl)-N-(6-methoxy-1H-benzo[d]imidazol-2-yl)-2,5- dimethyl-1H-pyrrole-3-carboxamide"		6/24/2024	treatment of hepatocellular carcinoma	Designated	Not FDA Approved for Orphan Indication	"Shenzhen KeYe Life Technologies, Co., Ltd"
folate-TRPV6-peptide exatecan drug conjugate		6/24/2024	treatment of small cell lung cancer	Designated	Not FDA Approved for Orphan Indication	"Coherent Biophanna (Hefei) Co., Ltd."
an orally bioavailable TEAD inhibitor (multiple-substituted indazole compound)		6/24/2024	treatment of mesothelioma	Designated	Not FDA Approved for Orphan Indication	Insilico Medicine Hong Kong Limited
"a therapeutic transgene cassette with an adeno-associated viral (AAV)-9 vector expressing a functional human codon optimized complimentary deoxyribonucleic acid (cDNA) encoding hEPM2A, under control of a CAG promoter"		6/24/2024	treatment of Lafora disease (LD)	Designated	Not FDA Approved for Orphan Indication	Genixcure Inc.
recombinant humanized IgG1 anti-TROP2 monoclonal antibody conjugated to a topoisomerase I inhibitor		6/18/2024	treatment of gastric cancer including cancer of the gastroesophageal junction	Designated	Not FDA Approved for Orphan Indication	"Merck, Sharp & Dohme LLC, a subsidiary of Merck & Co., Inc. (MSD)"
solution stable glucagon analog		6/17/2024	Treatment of congenital hyperinsulinism	Designated	Not FDA Approved for Orphan Indication	"AmideBio, Inc."
Small molecule allosteric mitofusin activator		6/12/2024	Treatment of Charcot-Marie-Tooth Disease	Designated	Not FDA Approved for Orphan Indication	"Mitochondria in Motion, Inc."
Dual targeting chimeric antigen receptor (CAR) T cell therapy directed against B-cell maturation antigen (BCMA) and G-protein coupled receptor family C group 5 member D (GPRC5D)		6/12/2024	Treatment of multiple myeloma	Designated	Not FDA Approved for Orphan Indication	"Juno Therapeutics, Inc., a Bristol-Myers Squibb Company"
"(R)-3-(((6-(methyl(phenyl)amino)-1,2,3,4-tetrahydronaphthalen-1-yl)methyl)amino)isonicotinic acid"		6/11/2024	treatment of soft tissue sarcoma	Designated	Not FDA Approved for Orphan Indication	"Tachyon Therapeutics, Inc."
calpurbatug		6/10/2024	treatment of infective endocarditis	Designated	Not FDA Approved for Orphan Indication	Trellis Bioscience Inc.
bispecific Fc fusion protein containing a CD80 ectodomain and an IL-2v3 moiety		6/10/2024	treatment of soft tissue sarcoma	Designated	Not FDA Approved for Orphan Indication	"GI Innovation, Inc."
